time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-04-26T22:23:36.956Z,-37.055,78.167,10,6,mww,82,52,0.88,0.55,us,us6000mu57,2024-05-04T03:37:33.987Z,Mid-Indian Ridge,earthquake,2.21,1.833,0.075,17,reviewed,us,us
2024-04-26T18:49:29.393Z,24.2125,121.6955,39.312,5.2,mww,239,21,0.54,0.7,us,us6000mu45,2024-04-27T18:56:00.930Z,"27 km NNE of Hualien City, Taiwan",earthquake,3.41,3.419,0.063,24,reviewed,us,us
2024-04-26T18:21:23.171Z,24.1639,121.6636,33.408,5.7,mww,251,22,0.568,0.61,us,us6000mu3y,2024-05-05T09:34:47.629Z,"21 km NNE of Hualien City, Taiwan",earthquake,3.29,2.88,0.05,38,reviewed,us,us
2024-04-26T16:25:43.031Z,-10.0167,160.4166,50.968,5.1,mb,35,123,0.737,0.68,us,us6000mu3d,2024-04-26T16:42:30.040Z,"82 km SE of Honiara, Solomon Islands",earthquake,9.82,6.453,0.047,147,reviewed,us,us
2024-04-26T13:43:20.304Z,-10.448,115.1109,35,5,mb,88,29,2.181,1.13,us,us6000mu0b,2024-05-06T15:58:52.973Z,"182 km S of Nusa Dua, Indonesia",earthquake,5.4,1.776,0.061,85,reviewed,us,us
2024-04-26T02:56:31.694Z,-55.2996,-29.0802,26.84,5,mb,37,90,4.407,0.96,us,us6000mtwd,2024-04-26T03:12:29.040Z,South Sandwich Islands region,earthquake,11.7,6.533,0.093,37,reviewed,us,us
2024-04-25T09:09:03.048Z,14.5582,146.8974,10,5.1,mb,62,71,1.263,1.05,us,us6000mtmz,2024-05-14T09:19:10.413Z,"142 km ESE of Saipan, Northern Mariana Islands",earthquake,8.12,1.874,0.052,120,reviewed,us,us
2024-04-25T05:07:36.279Z,-31.3139,-179.3131,174.177,5.5,mww,142,78,2.373,0.52,us,us6000mtlr,2024-05-09T08:52:39.214Z,Kermadec Islands region,earthquake,12,5.466,0.071,19,reviewed,us,us
2024-04-25T04:20:15.139Z,7.7888,127.2027,10,5,mww,76,94,1.761,1.23,us,us6000mtlh,2024-04-26T13:41:54.040Z,"72 km E of Kinablangan, Philippines",earthquake,7.95,1.863,0.093,11,reviewed,us,us
2024-04-24T18:12:16.868Z,24.0002,122.2704,26.837,5.1,mww,98,70,0.821,0.95,us,us6000mvti,2024-05-06T21:46:09.040Z,"67 km E of Hualien City, Taiwan",earthquake,6.36,2.54,0.062,25,reviewed,us,us
2024-04-24T18:11:56.126Z,23.9696,122.2944,35.376,5.1,mww,178,50,0.821,0.7,us,us6000mthz,2024-05-06T21:35:27.040Z,"70 km E of Hualien City, Taiwan",earthquake,1.75,4.403,0.066,22,reviewed,us,us
2024-04-24T11:40:07.440Z,36.4232,140.5874,54.976,5.1,mww,141,116,1.92,0.63,us,us6000mtg4,2024-05-09T08:23:52.648Z,"5 km SSE of Funaishikawa, Japan",earthquake,7.5,5.424,0.071,19,reviewed,us,us
2024-04-24T07:22:10.516Z,28.7699,142.5303,10,5.4,mww,97,67,1.696,1.1,us,us6000mtex,2024-04-25T07:28:48.399Z,"Bonin Islands, Japan region",earthquake,3.66,1.829,0.063,24,reviewed,us,us
2024-04-24T05:53:32.176Z,-18.8525,-175.6651,226.05,5.4,mww,100,40,2.346,0.98,us,us6000mten,2024-04-25T05:56:57.913Z,"172 km NW of Fangale’ounga, Tonga",earthquake,8.82,4.949,0.071,19,reviewed,us,us
2024-04-24T05:27:58.461Z,-29.9464,-177.904,47.237,5.2,mb,46,69,0.682,0.95,us,us6000mtef,2024-04-24T05:46:27.040Z,"Kermadec Islands, New Zealand",earthquake,5.76,7.029,0.042,192,reviewed,us,us
2024-04-24T01:23:53.685Z,-22.7803,171.6739,8,5.4,mww,101,18,4.89,0.71,us,us6000mtc7,2024-05-02T22:15:34.267Z,southeast of the Loyalty Islands,earthquake,6.18,1.699,0.062,25,reviewed,us,us
2024-04-24T01:20:42.545Z,7.5278,-82.3748,10,5.4,mww,113,67,1.283,0.48,us,us6000mtc6,2024-05-02T21:51:23.874Z,"78 km SE of Burica, Panama",earthquake,9.89,1.776,0.037,70,reviewed,us,us
2024-04-23T15:40:05.079Z,38.1576,-30.8347,18.011,5.2,mww,288,19,12.319,0.52,us,us6000mt7i,2024-04-25T16:46:27.040Z,"138 km SSE of Lajes das Flores, Portugal",earthquake,8.97,3.337,0.073,18,reviewed,us,us
2024-04-23T13:05:39.336Z,50.0999,-28.9704,9.121,5,mww,309,16,14.353,0.58,us,us6000mt6v,2024-04-25T15:15:17.040Z,northern Mid-Atlantic Ridge,earthquake,9.03,3.102,0.054,33,reviewed,us,us
2024-04-23T12:55:11.434Z,20.1111,121.3498,19.555,5.3,mww,94,39,2.705,0.79,us,us6000mt6s,2024-04-23T13:53:28.040Z,"74 km WSW of Basco, Philippines",earthquake,6.27,3.979,0.061,26,reviewed,us,us
2024-04-23T02:20:59.691Z,23.8259,121.6333,10,5.1,mww,92,63,0.53,0.73,us,us6000mt40,2024-05-14T13:45:08.112Z,"16 km S of Hualien City, Taiwan",earthquake,3.15,1.766,0.089,12,reviewed,us,us
2024-04-23T00:11:02.661Z,23.8982,121.5981,13.296,5.2,mb,43,78,0.574,0.65,us,us6000mt3i,2024-04-23T00:56:39.901Z,"8 km S of Hualien City, Taiwan",earthquake,3.1,3.849,0.06,92,reviewed,us,us
2024-04-23T00:04:05.608Z,23.8026,121.6764,13.118,5.8,mww,64,30,0.536,0.96,us,us6000mt3f,2024-04-24T00:10:48.034Z,"20 km SSE of Hualien City, Taiwan",earthquake,3.2,4.606,0.065,23,reviewed,us,us
2024-04-22T21:31:38.493Z,23.808,121.6343,10.621,5.4,mww,65,34,0.516,0.82,us,us6000mt22,2024-04-23T21:37:48.679Z,"18 km S of Hualien City, Taiwan",earthquake,2.36,4.218,0.083,14,reviewed,us,us
